year,score
19940204,0.265625
19940322,0.2692307692307692
19940517,0.4230769230769231
19940706,0.2857142857142857
19940816,0.3269230769230769
19940927,0.4074074074074074
19941115,0.3870967741935484
19941220,0.30357142857142855
19950201,0.14285714285714285
19950328,0.19642857142857142
19950523,-0.10416666666666667
19950706,-0.2727272727272727
19950822,-0.038461538461538464
19950926,-0.09615384615384616
19951115,-0.09259259259259259
19951219,-0.16666666666666666
19960131,-0.14285714285714285
19960326,0.10416666666666667
19960521,0.38
19960703,0.15151515151515152
19960820,0.30357142857142855
19960924,0.30357142857142855
19961113,0.25
19961217,0.25
19970205,0.27941176470588236
19970325,0.43478260869565216
19970520,0.391304347826087
19970702,0.25
19970819,0.22916666666666666
19970930,0.36363636363636365
19971112,0.36538461538461536
19971216,0.19230769230769232
19980204,0.1
19980331,0.375
19980519,0.3269230769230769
19980701,0.22580645161290322
19980818,-0.020833333333333332
19980929,-0.2727272727272727
19981117,-0.2
19981222,0.041666666666666664
19990203,0.14864864864864866
19990330,0.2826086956521739
19990518,0.45652173913043476
19990630,0.32142857142857145
19990824,0.36
19991005,0.3148148148148148
19991116,0.3392857142857143
19991221,0.3269230769230769
20000202,0.3620689655172414
20000321,0.4230769230769231
20000516,0.5
20000628,0.27586206896551724
20000822,0.25925925925925924
20001003,0.1206896551724138
20001115,0.041666666666666664
20001219,-0.42592592592592593
20010131,-0.3055555555555556
20010320,-0.4444444444444444
20010515,-0.3541666666666667
20010627,-0.20238095238095238
20010821,-0.5535714285714286
20011002,-0.5
20011106,-0.5428571428571428
20011211,-0.3888888888888889
20020130,-0.265625
20020319,0.1111111111111111
20020507,-0.07692307692307693
20020626,-0.140625
20020813,-0.46296296296296297
20020924,-0.3888888888888889
20021106,-0.5535714285714286
20021210,-0.27586206896551724
20030129,-0.24285714285714285
20030318,-0.35185185185185186
20030506,-0.41379310344827586
20030625,-0.38333333333333336
20030812,-0.3275862068965517
20030915,-0.047619047619047616
20030916,-0.3888888888888889
20031028,-0.14285714285714285
20031209,-0.018518518518518517
20040128,-0.1
20040316,-0.08333333333333333
20040504,0.125
20040630,0.21794871794871795
20040810,-0.037037037037037035
20040921,-0.10714285714285714
20041110,0.057692307692307696
20041214,0.30357142857142855
20050202,0.11290322580645161
20050322,0.43103448275862066
20050503,0.24
20050630,0.14102564102564102
20050809,0.3064516129032258
20050920,0.38636363636363635
20051101,0.25925925925925924
20051213,0.28
20060131,0.2222222222222222
20060328,0.25
20060510,0.32432432432432434
20060629,0.21794871794871795
20060808,0.24074074074074073
20060920,0.12
20061025,0.16
20061212,0.09259259259259259
20070131,0.17073170731707318
20070321,-0.18
20070509,-0.043478260869565216
20070628,0.07352941176470588
20070807,-0.11538461538461539
20070918,-0.34615384615384615
20071031,-0.2692307692307692
20071211,-0.4166666666666667
20080130,-0.22058823529411764
20080318,-0.28846153846153844
20080430,-0.125
20080625,0.04838709677419355
20080805,-0.09259259259259259
20080916,-0.18518518518518517
20081029,-0.5806451612903226
20081216,-0.4868421052631579
20090128,-0.40625
20090318,-0.4
20090429,-0.3064516129032258
20090624,-0.06451612903225806
20090812,-0.21666666666666667
20090923,-0.24074074074074073
20091104,-0.1323529411764706
20091216,-0.14516129032258066
20100127,-0.0423728813559322
20100316,-0.22727272727272727
20100428,-0.08823529411764706
20100623,-0.14545454545454545
20100810,-0.3
20100921,-0.3
20101103,-0.2857142857142857
20101214,-0.24390243902439024
20110126,-0.0945945945945946
20110315,-0.03571428571428571
20110427,0.017241379310344827
20110622,-0.16129032258064516
20110809,-0.3064516129032258
20110921,-0.24390243902439024
20111102,-0.2878787878787879
20111213,-0.3076923076923077
20120125,-0.17045454545454544
20120313,-0.21153846153846154
20120425,-0.15151515151515152
20120620,-0.25
20120801,-0.3333333333333333
20120913,-0.23333333333333334
20121024,-0.19117647058823528
20121212,-0.17647058823529413
20130130,-0.21666666666666667
20130320,-0.06756756756756757
20130501,-0.16071428571428573
20130619,-0.11764705882352941
20130731,-0.13157894736842105
20130918,-0.12903225806451613
20131030,-0.17307692307692307
20131218,-0.10606060606060606
20140129,-0.16666666666666666
20140319,-0.2
20140430,-0.046875
20140618,-0.08108108108108109
20140730,0.06451612903225806
20140917,-0.06896551724137931
20141029,-0.109375
20141217,0.018518518518518517
20150128,0.0
20150318,-0.078125
20150429,-0.1724137931034483
20150617,0.037037037037037035
20150729,0.25
20150917,0.0
20151028,-0.06451612903225806
20151216,-0.037037037037037035
20160127,-0.15555555555555556
20160316,-0.11538461538461539
20160427,-0.03488372093023256
20160615,-0.11538461538461539
20160727,-0.04411764705882353
20160921,0.0
20161102,0.045454545454545456
20161214,0.15625
