,year,score
0,19940204,1.9459101490553132
1,19940322,1.3862943611198906
2,19940418,1.3862943611198906
3,19940517,1.6094379124341003
4,19940816,0.6931471805599453
5,19941115,2.1972245773362196
6,19950201,2.0794415416798357
7,19950706,-0.916290731874155
8,19951219,-1.9459101490553135
9,19960131,0.0
10,19970325,1.3862943611198906
11,19980929,-1.6094379124341003
12,19981015,-1.6094379124341003
13,19981117,-1.0986122886681098
14,19990518,1.0986122886681098
15,19990630,0.6931471805599453
16,19990824,1.6094379124341003
17,19991005,1.0986122886681098
18,19991116,1.5040773967762742
19,19991221,1.6094379124341003
20,20000202,2.3978952727983707
21,20000321,2.1972245773362196
22,20000516,2.3978952727983707
23,20000628,0.4054651081081644
24,20000822,0.0
25,20001003,0.28768207245178085
26,20001115,0.5108256237659907
27,20001219,-1.6094379124341003
28,20010103,-2.3978952727983707
29,20010131,-2.70805020110221
30,20010320,-2.5649493574615367
31,20010418,-2.3978952727983707
32,20010515,-2.5649493574615367
33,20010627,-2.3978952727983707
34,20010821,-2.3978952727983707
35,20010917,-2.70805020110221
36,20011002,-2.4849066497880004
37,20011106,-2.1972245773362196
38,20011211,-2.3025850929940455
39,20020130,-1.0986122886681098
40,20020319,-0.40546510810816444
41,20020507,-1.0986122886681098
42,20020626,-0.6931471805599453
43,20020813,-1.6094379124341003
44,20020924,-1.9459101490553135
45,20021106,-2.1972245773362196
46,20021210,-0.6931471805599453
47,20030129,-1.3862943611198906
48,20030318,-1.791759469228055
49,20030506,-1.9459101490553135
50,20030625,-2.4849066497880004
51,20030812,-2.1972245773362196
52,20030916,-2.3025850929940455
53,20031028,-2.1972245773362196
54,20031209,-0.40546510810816444
55,20040128,-0.916290731874155
56,20040316,-1.9459101490553135
57,20040504,1.0986122886681098
58,20040630,1.791759469228055
59,20040810,0.6931471805599453
60,20040921,1.791759469228055
61,20041110,1.791759469228055
62,20041214,1.791759469228055
63,20050202,1.791759469228055
64,20050322,1.9459101490553132
65,20050503,0.8472978603872037
66,20050630,1.9459101490553132
67,20050809,1.791759469228055
68,20050920,0.13353139262452257
69,20051101,0.1823215567939546
70,20051213,2.0794415416798357
71,20060131,2.0794415416798357
72,20060328,0.8472978603872037
73,20060510,2.0794415416798357
74,20060629,2.302585092994046
75,20060808,1.9459101490553132
76,20060920,0.6931471805599453
77,20061025,0.8472978603872037
78,20061212,0.8472978603872037
79,20070131,1.0986122886681098
80,20070321,0.28768207245178085
81,20070509,0.28768207245178085
82,20070618,0.0
83,20070807,-0.6931471805599453
84,20070810,0.0
85,20070817,-1.791759469228055
86,20070918,-1.7047480922384253
87,20071031,-0.587786664902119
88,20071211,-1.466337068793427
89,20080122,-1.466337068793427
90,20080130,-2.5649493574615367
91,20080311,-1.6094379124341003
92,20080318,-1.0296194171811581
93,20080430,-1.1786549963416462
94,20080625,-0.3364722366212129
95,20080805,-0.3364722366212129
96,20080916,-2.1972245773362196
97,20081008,-2.9444389791664407
98,20081029,-2.833213344056216
99,20081216,-3.295836866004329
100,20090128,-3.4011973816621555
101,20090318,-3.295836866004329
102,20090429,-3.1354942159291497
103,20090624,-2.9444389791664407
104,20090812,-2.772588722239781
105,20090923,-2.0794415416798357
106,20091104,-2.639057329615259
107,20091216,-1.540445040947149
108,20100127,-0.6931471805599453
109,20100316,-1.540445040947149
110,20100428,-0.7884573603642702
111,20100509,0.0
112,20100623,-1.7346010553881064
113,20100810,-1.2809338454620642
114,20100921,-1.2809338454620642
115,20101103,-1.5260563034950494
116,20101214,-2.0794415416798357
117,20110126,-3.044522437723423
118,20110315,-1.466337068793427
119,20110427,-2.639057329615259
120,20110622,-2.5649493574615367
121,20110809,-3.044522437723423
122,20110921,-1.9924301646902063
123,20111102,-2.772588722239781
124,20111213,-2.70805020110221
125,20120125,-2.639057329615259
126,20120313,-1.540445040947149
127,20120425,-1.3862943611198906
128,20120620,-1.9459101490553135
129,20120801,-3.044522437723423
130,20120913,-1.9459101490553135
131,20121024,-1.791759469228055
132,20121212,-2.0794415416798357
133,20130130,-1.6739764335716716
134,20130320,-1.845826690498331
135,20130501,-1.845826690498331
136,20130619,-1.6582280766035324
137,20130731,-1.5040773967762742
138,20130918,-1.9924301646902063
139,20131030,-1.6582280766035324
140,20131218,-1.7047480922384253
141,20140129,-1.3350010667323402
142,20140319,-1.4816045409242156
143,20140430,-1.5260563034950494
144,20140618,-1.55814461804655
145,20140730,-0.8873031950009028
146,20140917,-0.6931471805599453
147,20141029,-0.9555114450274363
148,20141217,-1.3862943611198906
149,20150128,-1.7047480922384253
150,20150318,-1.6094379124341003
151,20150429,-2.0794415416798357
152,20150617,-1.0986122886681098
153,20150729,-0.9808292530117262
154,20150917,-0.916290731874155
155,20151028,-0.8109302162163288
156,20151216,-0.916290731874155
157,20160127,-2.3025850929940455
158,20160316,-1.1786549963416462
159,20160427,-1.0986122886681098
160,20160615,-2.4849066497880004
161,20160727,-1.3862943611198906
162,20160921,-1.0986122886681098
163,20161102,-1.0116009116784799
164,20161214,-1.0986122886681098
