,date,average
0,19940204,0.4
1,19940322,0.3333333333333333
2,19940418,0.3333333333333333
3,19940517,0.125
4,19940816,0.14285714285714285
5,19941115,0.25
6,19950201,0.3125
7,19950706,-0.125
8,19951219,-0.375
9,19960131,0.0
10,19970325,0.1
11,19980929,-0.16666666666666666
12,19981015,-0.16666666666666666
13,19981117,-0.2
14,19990518,0.1
15,19990630,0.125
16,19990824,0.05555555555555555
17,19991005,0.0625
18,19991116,0.125
19,19991221,0.25
20,20000202,0.2777777777777778
21,20000321,0.16666666666666666
22,20000516,0.375
23,20000628,0.0
24,20000822,0.0
25,20001003,0.0625
26,20001115,0.08333333333333333
27,20001219,-0.25
28,20010103,-0.3
29,20010131,-0.2727272727272727
30,20010320,-0.25
31,20010418,-0.25
32,20010515,-0.2692307692307692
33,20010627,-0.375
34,20010821,-0.35
35,20010917,-0.4444444444444444
36,20011002,-0.3888888888888889
37,20011106,-0.42857142857142855
38,20011211,-0.375
39,20020130,-0.3333333333333333
40,20020319,0.0
41,20020507,-0.027777777777777776
42,20020626,-0.05263157894736842
43,20020813,-0.07894736842105263
44,20020924,-0.11904761904761904
45,20021106,-0.13043478260869565
46,20021210,-0.05263157894736842
47,20030129,-0.05555555555555555
48,20030318,-0.07142857142857142
49,20030506,-0.09523809523809523
50,20030625,-0.12962962962962962
51,20030812,-0.11904761904761904
52,20030916,-0.13636363636363635
53,20031028,-0.11363636363636363
54,20031209,-0.047619047619047616
55,20040128,-0.05
56,20040316,-0.075
57,20040504,-0.07894736842105263
58,20040630,0.022727272727272728
59,20040810,0.0
60,20040921,0.0
61,20041110,0.022727272727272728
62,20041214,-0.018518518518518517
63,20050202,0.021739130434782608
64,20050322,0.08333333333333333
65,20050503,0.04
66,20050630,0.0
67,20050809,0.06818181818181818
68,20050920,0.038461538461538464
69,20051101,0.0
70,20051213,0.09523809523809523
71,20060131,0.09090909090909091
72,20060328,0.08333333333333333
73,20060510,0.10416666666666667
74,20060629,0.10416666666666667
75,20060808,0.05
76,20060920,0.07142857142857142
77,20061025,0.045454545454545456
78,20061212,0.06818181818181818
79,20070131,0.045454545454545456
80,20070321,0.0
81,20070509,0.0
82,20070618,-0.022727272727272728
83,20070807,-0.045454545454545456
84,20070810,-0.0625
85,20070817,-0.08823529411764706
86,20070918,-0.08695652173913043
87,20071031,-0.038461538461538464
88,20071211,-0.09615384615384616
89,20080122,-0.12
90,20080130,-0.16
91,20080311,-0.16666666666666666
92,20080318,-0.125
93,20080430,-0.09259259259259259
94,20080625,0.0
95,20080805,-0.02
96,20080916,-0.07692307692307693
97,20081008,-0.16129032258064516
98,20081029,-0.15384615384615385
99,20081216,-0.23333333333333334
100,20090128,-0.234375
101,20090318,-0.20967741935483872
102,20090429,-0.21666666666666667
103,20090624,-0.2777777777777778
104,20090812,-0.18333333333333332
105,20090923,-0.1724137931034483
106,20091104,-0.13333333333333333
107,20091216,-0.12121212121212122
108,20100127,-0.14516129032258066
109,20100316,-0.14814814814814814
110,20100428,-0.16
111,20100509,-0.04
112,20100623,-0.2
113,20100810,-0.15
114,20100921,-0.17857142857142858
115,20101103,-0.16666666666666666
116,20101214,-0.20967741935483872
117,20110126,-0.21428571428571427
118,20110315,-0.16071428571428573
119,20110427,-0.14285714285714285
120,20110622,-0.15517241379310345
121,20110809,-0.16666666666666666
122,20110921,-0.17142857142857143
123,20111102,-0.15
124,20111213,-0.17857142857142858
125,20120125,-0.18518518518518517
126,20120313,-0.13793103448275862
127,20120425,-0.13333333333333333
128,20120620,-0.17647058823529413
129,20120801,-0.1935483870967742
130,20120913,-0.17647058823529413
131,20121024,-0.17647058823529413
132,20121212,-0.1891891891891892
133,20130130,-0.17142857142857143
134,20130320,-0.2
135,20130501,-0.20833333333333334
136,20130619,-0.21428571428571427
137,20130731,-0.2
138,20130918,-0.22857142857142856
139,20131030,-0.2361111111111111
140,20131218,-0.21621621621621623
141,20140129,-0.19444444444444445
142,20140319,-0.21794871794871795
143,20140430,-0.16216216216216217
144,20140618,-0.18055555555555555
145,20140730,-0.13513513513513514
146,20140917,-0.14473684210526316
147,20141029,-0.125
148,20141217,-0.08108108108108109
149,20150128,-0.1
150,20150318,-0.12857142857142856
151,20150429,-0.22727272727272727
152,20150617,-0.09375
153,20150729,-0.109375
154,20150917,-0.08823529411764706
155,20151028,-0.09090909090909091
156,20151216,-0.07575757575757576
157,20160127,-0.1935483870967742
158,20160316,-0.09090909090909091
159,20160427,-0.10606060606060606
160,20160615,-0.171875
161,20160727,-0.08823529411764706
162,20160921,-0.10294117647058823
163,20161102,-0.10294117647058823
164,20161214,-0.109375
