year,sd_score
19940204,0.2790714234295586
19940322,0.3978492474149462
19940517,0.2664693550105965
19940706,0.3642156795423418
19940816,0.36538461538461536
19940927,0.2734226492635815
19941115,0.41561608795887506
19941220,0.3620202666555945
19950201,0.2857142857142857
19950328,0.3620202666555945
19950523,0.3529390488770295
19950706,0.3501278790391316
19950822,0.27467032417472503
19950926,0.3106825850269906
19951115,0.36099238314107274
19951219,0.40824829046386296
19960131,0.3976974544878587
19960326,0.2879223950226094
19960521,0.32496153618543844
19960703,0.3367592541044374
19960820,0.38589612116025557
19960924,0.3087788654605461
19961113,0.31339158526400435
19961217,0.25
19970205,0.27629844453023433
19970325,0.268018000129086
19970520,0.3282536710987283
19970702,0.2834733547569204
19970819,0.2491304321479458
19970930,0.308287726505694
19971112,0.38123514618459636
19971216,0.3418536314352149
19980204,0.31167748898959186
19980331,0.3439528622188968
19980519,0.39081541217118415
19980701,0.30687576758774915
19980818,0.39473531919784205
19980929,0.30378693417823366
19981117,0.39999999999999997
19981222,0.28565227501671014
19990203,0.34611482364501883
19990330,0.28840215568307825
19990518,0.20393111999232302
19990630,0.30514299090419755
19990824,0.265329983228432
19991005,0.3374234658942333
19991116,0.26904498523784576
19991221,0.23787147840101888
20000202,0.3448275862068965
20000321,0.2664693550105965
20000516,0.3535533905932738
20000628,0.31034482758620685
20000822,0.2844868795506892
20001003,0.3387393569722155
20001115,0.45452967144315476
20001219,0.324998681014523
20010131,0.35896799953666897
20010320,0.3424674446093876
20010515,0.420296687538167
20010627,0.32840748152699334
20010821,0.3087788654605461
20011002,0.32732683535398854
20011106,0.4030495994190253
20011211,0.28327886186626583
20020130,0.30578727798095195
20020319,0.3142696805273545
20020507,0.3308586641170241
20020626,0.28598445652692384
20020813,0.30202789685740905
20020924,0.36851386559504445
20021106,0.3620202666555945
20021210,0.2486587086526889
20030129,0.24989793835051285
20030318,0.2283116297395917
20030506,0.32347694895334
20030625,0.24776781245530843
20030812,0.23765601296707278
20030915,0.1467717619754518
20030916,0.20786985482077455
20031028,0.32340661207633625
20031209,0.3963136029450499
20040128,0.28784916685156975
20040316,0.4487637339278754
20040504,0.414578098794425
20040630,0.33578976547971273
20040810,0.4287347001033417
20040921,0.36246041303900783
20041110,0.40016638551316946
20041214,0.27836530835928386
20050202,0.27561302404250093
20050322,0.21672077741338852
20050503,0.34985711369071804
20050630,0.2761622978017694
20050809,0.2746675220310709
20050920,0.39691475446756774
20051101,0.3153590067764148
20051213,0.31874754901018454
20060131,0.3142696805273545
20060328,0.3466876226407682
20060510,0.23869623963048237
20060629,0.31612379502405014
20060808,0.3694432841344445
20060920,0.4308131845707603
20061025,0.3666060555964672
20061212,0.4090874450810096
20070131,0.26155622670155143
20070321,0.3709447398198281
20070509,0.4147561745291068
20070628,0.3238634639050771
20070807,0.39970403251589476
20070918,0.38653367773541886
20071031,0.3978492474149462
20071211,0.4714045207910317
20080130,0.42341706026141085
20080318,0.5746751075955359
20080430,0.414578098794425
20080625,0.4086728857845137
20080805,0.5779439457158235
20080916,0.4115946439054235
20081029,0.4417117399235211
20081216,0.4053400473881412
20090128,0.47495887979908324
20090318,0.45981362684088806
20090429,0.35189393918179723
20090624,0.3963937331433711
20090812,0.3804237403504443
20090923,0.3694432841344445
20091104,0.3495548330589622
20091216,0.4054775835476302
20100127,0.3715306816403893
20100316,0.39101478486557395
20100428,0.35294117647058826
20100623,0.35255853508482393
20100810,0.5567764362830022
20100921,0.4301162633521313
20101103,0.44031528592635544
20101214,0.3844849456203524
20110126,0.3646145287360011
20110315,0.37627334831616926
20110427,0.42513200020475705
20110622,0.40930895291772645
20110809,0.5488612750701147
20110921,0.4294345576014392
20111102,0.44432964541258124
20111213,0.39411349099844606
20120125,0.3835122052428683
20120313,0.44230769230769235
20120425,0.39857413448381535
20120620,0.44876373392787533
20120801,0.4020151261036848
20120913,0.41633319989322654
20121024,0.3837643632558791
20121212,0.4832846095633819
20130130,0.42196629670573876
20130320,0.4526522763363304
20130501,0.42370751848945265
20130619,0.36499040135267224
20130731,0.31797489404196244
20130918,0.35848565759504625
20131030,0.41468958947784285
20131218,0.4037246240749766
20140129,0.32489314482696546
20140319,0.39999999999999997
20140430,0.2893790496476896
20140618,0.31864394925815126
20140730,0.3533693919388169
20140917,0.3649312153192539
20141029,0.3476343040826092
20141217,0.4611073925181012
20150128,0.3855498004780299
20150318,0.4166341133116682
20150429,0.420915710887369
20150617,0.4065647851870398
20150729,0.25
20150917,0.49065338146265813
20151028,0.3963937331433712
20151216,0.38311409010328157
20160127,0.2753224820747526
20160316,0.36622709889963334
20160427,0.347672474133164
20160615,0.3748767055695756
20160727,0.35079001299636947
20160921,0.43994134506405985
20161102,0.3340213285613424
20161214,0.31715286140913185
