year,logit_score
19940204,1.9459101490553132
19940322,1.3862943611198906
19940418,1.3862943611198906
19940517,1.6094379124341003
19940816,0.6931471805599453
19941115,2.1972245773362196
19950201,2.0794415416798357
19950706,-0.916290731874155
19951219,-1.9459101490553135
19960131,0.0
19970325,1.3862943611198906
19980929,-1.6094379124341003
19981015,-1.6094379124341003
19981117,-1.0986122886681098
19990518,1.0986122886681098
19990630,0.6931471805599453
19990824,1.6094379124341003
19991005,1.0986122886681098
19991116,1.5040773967762742
19991221,1.6094379124341003
20000202,2.3978952727983707
20000321,2.1972245773362196
20000516,2.3978952727983707
20000628,0.4054651081081644
20000822,0.0
20001003,0.28768207245178085
20001115,0.5108256237659907
20001219,-1.6094379124341003
20010103,-2.3978952727983707
20010131,-2.70805020110221
20010320,-2.5649493574615367
20010418,-2.3978952727983707
20010515,-2.5649493574615367
20010627,-2.3978952727983707
20010821,-2.3978952727983707
20010917,-2.70805020110221
20011002,-2.4849066497880004
20011106,-2.1972245773362196
20011211,-2.3025850929940455
20020130,-1.0986122886681098
20020319,-0.40546510810816444
20020507,-1.0986122886681098
20020626,-0.6931471805599453
20020813,-1.6094379124341003
20020924,-1.9459101490553135
20021106,-2.1972245773362196
20021210,-0.6931471805599453
20030129,-1.3862943611198906
20030318,-1.791759469228055
20030506,-1.9459101490553135
20030625,-2.4849066497880004
20030812,-2.1972245773362196
20030916,-2.3025850929940455
20031028,-2.1972245773362196
20031209,-0.40546510810816444
20040128,-0.916290731874155
20040316,-1.9459101490553135
20040504,1.0986122886681098
20040630,1.791759469228055
20040810,0.6931471805599453
20040921,1.791759469228055
20041110,1.791759469228055
20041214,1.791759469228055
20050202,1.791759469228055
20050322,1.9459101490553132
20050503,0.8472978603872037
20050630,1.9459101490553132
20050809,1.791759469228055
20050920,0.13353139262452257
20051101,0.1823215567939546
20051213,2.0794415416798357
20060131,2.0794415416798357
20060328,0.8472978603872037
20060510,2.0794415416798357
20060629,2.302585092994046
20060808,1.9459101490553132
20060920,0.6931471805599453
20061025,0.8472978603872037
20061212,0.8472978603872037
20070131,1.0986122886681098
20070321,0.28768207245178085
20070509,0.28768207245178085
20070618,0.0
20070807,-0.6931471805599453
20070810,0.0
20070817,-1.791759469228055
20070918,-1.7047480922384253
20071031,-0.587786664902119
20071211,-1.466337068793427
20080122,-1.466337068793427
20080130,-2.5649493574615367
20080311,-1.6094379124341003
20080318,-1.0296194171811581
20080430,-1.1786549963416462
20080625,-0.3364722366212129
20080805,-0.3364722366212129
20080916,-2.1972245773362196
20081008,-2.9444389791664407
20081029,-2.833213344056216
20081216,-3.295836866004329
20090128,-3.4011973816621555
20090318,-3.295836866004329
20090429,-3.1354942159291497
20090624,-2.9444389791664407
20090812,-2.772588722239781
20090923,-2.0794415416798357
20091104,-2.639057329615259
20091216,-1.540445040947149
20100127,-0.6931471805599453
20100316,-1.540445040947149
20100428,-0.7884573603642702
20100509,0.0
20100623,-1.7346010553881064
20100810,-1.2809338454620642
20100921,-1.2809338454620642
20101103,-1.5260563034950494
20101214,-2.0794415416798357
20110126,-3.044522437723423
20110315,-1.466337068793427
20110427,-2.639057329615259
20110622,-2.5649493574615367
20110809,-3.044522437723423
20110921,-1.9924301646902063
20111102,-2.772588722239781
20111213,-2.70805020110221
20120125,-2.639057329615259
20120313,-1.540445040947149
20120425,-1.3862943611198906
20120620,-1.9459101490553135
20120801,-3.044522437723423
20120913,-1.9459101490553135
20121024,-1.791759469228055
20121212,-2.0794415416798357
20130130,-1.6739764335716716
20130320,-1.845826690498331
20130501,-1.845826690498331
20130619,-1.6582280766035324
20130731,-1.5040773967762742
20130918,-1.9924301646902063
20131030,-1.6582280766035324
20131218,-1.7047480922384253
20140129,-1.3350010667323402
20140319,-1.4816045409242156
20140430,-1.5260563034950494
20140618,-1.55814461804655
20140730,-0.8873031950009028
20140917,-0.6931471805599453
20141029,-0.9555114450274363
20141217,-1.3862943611198906
20150128,-1.7047480922384253
20150318,-1.6094379124341003
20150429,-2.0794415416798357
20150617,-1.0986122886681098
20150729,-0.9808292530117262
20150917,-0.916290731874155
20151028,-0.8109302162163288
20151216,-0.916290731874155
20160127,-2.3025850929940455
20160316,-1.1786549963416462
20160427,-1.0986122886681098
20160615,-2.4849066497880004
20160727,-1.3862943611198906
20160921,-1.0986122886681098
20161102,-1.0116009116784799
20161214,-1.0986122886681098
