,year,sd_score
0,19941115,0.4629100498862757
1,19950201,0.4629100498862757
2,19950706,0.7071067811865476
3,19951219,0.23570226039551584
4,19960131,0.0
5,19970325,0.739509972887452
6,19980929,0.4714045207910317
7,19981015,0.48989794855663565
8,19981117,0.48989794855663565
9,19990518,0.739509972887452
10,19990630,0.23570226039551584
11,19990824,0.6388765649999398
12,19991005,0.6226998490772391
13,19991116,0.6726812023536854
14,19991221,0.37416573867739417
15,20000202,0.3903123748998999
16,20000321,0.4581228472908512
17,20000516,0.41649656391752143
18,20000628,0.5099019513592785
19,20000822,0.47871355387816905
20,20001003,0.6546536707079771
21,20001115,0.5830951894845301
22,20001219,0.48989794855663565
23,20010103,0.4581228472908512
24,20010131,0.4031128874149275
25,20010320,0.408248290463863
26,20010418,0.49792959773196915
27,20010515,0.4930066485916347
28,20010627,0.3642156795423418
29,20010821,0.414578098794425
30,20010917,0.34798527267687634
31,20011002,0.42847841252506524
32,20011106,0.3818813079129867
33,20011211,0.3499271061118826
34,20020130,0.4
35,20020319,0.4714045207910317
36,20020507,0.4403152859263555
37,20020626,0.4581228472908512
38,20020813,0.4629100498862757
39,20020924,0.4581228472908512
40,20021106,0.49792959773196915
41,20021210,0.44876373392787533
42,20030129,0.4403152859263555
43,20030318,0.4714045207910317
44,20030506,0.49792959773196915
45,20030625,0.47842333648024415
46,20030812,0.4969039949999533
47,20030916,0.41573970964154905
48,20031028,0.45
49,20031209,0.55
50,20040128,0.5385164807134505
51,20040316,0.556702214268904
52,20040504,0.47169905660283024
53,20040630,0.6718548123582124
54,20040810,0.6738557951469003
55,20040921,0.6561673228343176
56,20041110,0.6438484420471409
57,20041214,0.5906681715556451
58,20050202,0.6561673228343176
59,20050322,0.6318502147483619
60,20050503,0.6110100926607787
61,20050630,0.5883484054145521
62,20050809,0.6032456592830048
63,20050920,0.6606992034958117
64,20051101,0.6458790624517948
65,20051213,0.5785419118799024
66,20060131,0.5312459150169743
67,20060328,0.5813864498607039
68,20060510,0.5439654745477879
69,20060629,0.4921529567847503
70,20060808,0.5297284633639759
71,20060920,0.5725435550671928
72,20061025,0.5802884574739972
73,20061212,0.5574620066774855
74,20070131,0.3076923076923077
75,20070321,0.462105687767059
76,20070509,0.4810456929208346
77,20070618,0.3648781915578899
78,20070807,0.3711537444790451
79,20070810,0.7999999999999999
80,20070817,0.42847841252506524
81,20070918,0.49607837082461076
82,20071031,0.5439188826149096
83,20071211,0.5748476554615313
84,20080122,0.4831132760543846
85,20080130,0.4831132760543846
86,20080311,0.5
87,20080318,0.5354471039309423
88,20080430,0.5380275868489703
89,20080625,0.6749485577105528
90,20080805,0.6477984695434662
91,20080916,0.5933302759227196
92,20081008,0.48372265122256275
93,20081029,0.49607837082461076
94,20081216,0.5722761571129799
95,20090128,0.46724294775012093
96,20090318,0.4710360920354193
97,20090429,0.4409585518440985
98,20090624,0.45821494683172437
99,20090812,0.47020042043170235
100,20090923,0.4749985081728572
101,20091104,0.4838099029171114
102,20091216,0.4768967975941499
103,20100127,0.6291528696058958
104,20100316,0.5418955560352877
105,20100428,0.5359078575967234
106,20100509,0.46351240544347894
107,20100623,0.5729352909757169
108,20100810,0.6236095644623235
109,20100921,0.6344244092606776
110,20101103,0.6236095644623235
111,20101214,0.5678908345800274
112,20110126,0.45580284409707295
113,20110315,0.4994327848429293
114,20110427,0.4710360920354193
115,20110622,0.4856209060564557
116,20110809,0.48688418850662163
117,20110921,0.5490235630376088
118,20111102,0.487072967443654
119,20111213,0.47499850817285716
120,20120125,0.5848976518656018
121,20120313,0.5235475903822738
122,20120425,0.5396597436245257
123,20120620,0.47884229223033586
124,20120801,0.566446535874777
125,20120913,0.553534100123922
126,20121024,0.5769230769230769
127,20121212,0.5570860145311556
128,20130130,0.5462600113499064
129,20130320,0.5477225575051661
130,20130501,0.5381449618829485
131,20130619,0.5078262666963737
132,20130731,0.5174470787336043
133,20130918,0.5083306010855534
134,20131030,0.5174470787336042
135,20131218,0.45133546692422
136,20140129,0.43744488188954506
137,20140319,0.507991688470939
138,20140430,0.4683819899036594
139,20140618,0.49965694678637196
140,20140730,0.556444158960103
141,20140917,0.6211548384528074
142,20141029,0.5354165839487482
143,20141217,0.5671339380482251
144,20150128,0.4667177345965999
145,20150318,0.4882622246293481
146,20150429,0.47826001180204153
147,20150617,0.4476360930863913
148,20150729,0.4712931171451913
149,20150917,0.531581484978049
150,20151028,0.5122499389946279
151,20151216,0.4930066485916347
152,20160127,0.44439018766044874
153,20160316,0.4880589417398732
154,20160427,0.4721180023715102
155,20160615,0.44
156,20160727,0.5014841231809996
157,20160921,0.49552178371332045
158,20161102,0.49552178371332045
159,20161214,0.4915282290977803
