year,logit_score
19940204,2.8903717578961645
19940322,1.5040773967762742
19940517,3.1354942159291497
19940706,1.8458266904983307
19940816,1.8971199848858813
19940927,3.1354942159291497
19941115,2.1972245773362196
19941220,1.8971199848858813
19950201,1.7346010553881064
19950328,1.3217558399823195
19950523,-0.6931471805599453
19950706,-2.3025850929940455
19950822,-0.40546510810816444
19950926,-0.8109302162163288
19951115,-0.6931471805599453
19951219,-1.0296194171811581
19960131,-0.8472978603872037
19960326,0.9808292530117262
19960521,2.995732273553991
19960703,1.0986122886681098
19960820,1.8971199848858813
19960924,2.8903717578961645
19961113,2.0794415416798357
19961217,2.6390573296152584
19970205,2.995732273553991
19970325,3.044522437723423
19970520,2.302585092994046
19970702,2.0794415416798357
19970819,2.4849066497880004
19970930,2.1972245773362196
19971112,1.992430164690206
19971216,1.252762968495368
19980204,0.8754687373538999
19980331,2.4423470353692043
19980519,1.6582280766035324
19980701,1.7346010553881064
19980818,-0.11778303565638351
19980929,-2.3025850929940455
19981117,-1.0986122886681098
19981222,0.4054651081081644
19990203,1.3217558399823195
19990330,2.6390573296152584
19990518,3.091042453358316
19990630,2.302585092994046
19990824,2.302585092994046
19991005,1.8971199848858813
19991116,2.995732273553991
19991221,2.8903717578961645
20000202,2.4423470353692043
20000321,3.1354942159291497
20000516,3.367295829986474
20000628,1.8458266904983307
20000822,2.0794415416798357
20001003,0.8754687373538999
20001115,0.20067069546215124
20001219,-2.5257286443082556
20010131,-3.1354942159291497
20010320,-2.5649493574615367
20010515,-1.6582280766035324
20010627,-1.6582280766035324
20010821,-3.4657359027997265
20011002,-3.367295829986474
20011106,-3.6635616461296463
20011211,-2.4423470353692043
20020130,-2.2512917986064953
20020319,0.9162907318741551
20020507,-0.587786664902119
20020626,-1.3862943611198906
20020813,-3.258096538021482
20020924,-2.4423470353692043
20021106,-3.4657359027997265
20021210,-2.833213344056216
20030129,-2.890371757896165
20030318,-2.995732273553991
20030506,-3.2188758248682006
20030625,-3.1780538303479458
20030812,-2.995732273553991
20030915,-1.0986122886681098
20030916,-3.0910424533583156
20031028,-1.0986122886681098
20031209,-0.10536051565782628
20040128,-1.0116009116784799
20040316,-0.40546510810816444
20040504,0.6190392084062235
20040630,1.6582280766035324
20040810,-0.1823215567939546
20040921,-0.6931471805599453
20041110,0.3184537311185346
20041214,2.2512917986064953
20050202,1.2039728043259361
20050322,3.258096538021482
20050503,1.3862943611198906
20050630,1.540445040947149
20050809,2.995732273553991
20050920,1.8971199848858813
20051101,1.7346010553881064
20051213,1.7346010553881064
20060131,1.6094379124341003
20060328,1.4469189829363254
20060510,3.2188758248682006
20060629,1.7676619176489945
20060808,1.4469189829363254
20060920,0.6190392084062235
20061025,0.9555114450274363
20061212,0.4855078157817008
20070131,2.0794415416798357
20070321,-1.0296194171811581
20070509,-0.2231435513142097
20070628,0.6061358035703155
20070807,-0.6931471805599453
20070918,-1.9459101490553135
20071031,-1.5040773967762742
20071211,-1.791759469228055
20080130,-1.252762968495368
20080318,-1.0560526742493137
20080430,-0.6931471805599453
20080625,0.28768207245178085
20080805,-0.3483066942682157
20080916,-0.9808292530117262
20081029,-2.9444389791664407
20081216,-3.6375861597263857
20090128,-2.0149030205422647
20090318,-2.3353749158170367
20090429,-1.9924301646902063
20090624,-0.40546510810816444
20090812,-1.2809338454620642
20090923,-1.4469189829363254
20091104,-0.916290731874155
20091216,-0.8266785731844679
20100127,-0.3053816495511819
20100316,-1.466337068793427
20100428,-0.6931471805599453
20100623,-1.1895840668738362
20100810,-1.2992829841302609
20100921,-1.7578579175523736
20101103,-1.6094379124341003
20101214,-1.466337068793427
20110126,-0.6931471805599453
20110315,-0.2231435513142097
20110427,0.09531017980432493
20110622,-0.8873031950009028
20110809,-1.3121863889661687
20110921,-1.466337068793427
20111102,-1.5686159179138452
20111213,-1.6094379124341003
20120125,-1.252762968495368
20120313,-0.9444616088408514
20120425,-0.9808292530117262
20120620,-1.2729656758128873
20120801,-1.8718021769015913
20120913,-1.5040773967762742
20121024,-1.1526795099383855
20121212,-0.8472978603872037
20130130,-1.1526795099383855
20130320,-0.3746934494414107
20130501,-0.8266785731844679
20130619,-0.7621400520468967
20130731,-1.0986122886681098
20130918,-0.8472978603872037
20131030,-0.916290731874155
20131218,-0.6931471805599453
20140129,-1.252762968495368
20140319,-1.0986122886681098
20140430,-0.4700036292457356
20140618,-0.6931471805599453
20140730,0.4519851237430572
20140917,-0.45198512374305727
20141029,-0.7731898882334817
20141217,0.09531017980432493
20150128,0.0
20150318,-0.4418327522790392
20150429,-1.0986122886681098
20150617,0.20067069546215124
20150729,0.6931471805599453
20150917,0.0
20151028,-0.40546510810816444
20151216,-0.2231435513142097
20160127,-1.7346010553881064
20160316,-0.7537718023763802
20160427,-0.262364264467491
20160615,-0.6931471805599453
20160727,-0.3184537311185346
20160921,0.0
20161102,0.3566749439387324
20161214,1.252762968495368
